State,Year,Month,Records,Period
AK,2020,April,99,post
AL,2020,April,683,post
AR,2020,April,1060,post
AZ,2020,April,16545,post
CA,2020,April,9643,post
CO,2020,April,7105,post
CT,2020,April,351,post
DC,2020,April,274,post
DE,2020,April,567,post
FL,2020,April,1535,post
GA,2020,April,2252,post
HI,2020,April,11,post
IA,2020,April,1501,post
ID,2020,April,16,post
IL,2020,April,4205,post
IN,2020,April,11212,post
KS,2020,April,1147,post
KY,2020,April,1388,post
LA,2020,April,3055,post
MA,2020,April,39618,post
MD,2020,April,5053,post
ME,2020,April,13930,post
MI,2020,April,24665,post
MN,2020,April,22851,post
MO,2020,April,659,post
MS,2020,April,697,post
MT,2020,April,110,post
NC,2020,April,7041,post
ND,2020,April,10,post
NE,2020,April,22,post
NH,2020,April,6884,post
NJ,2020,April,8091,post
NM,2020,April,2047,post
NV,2020,April,0,post
NY,2020,April,21307,post
OH,2020,April,4253,post
OK,2020,April,73,post
OR,2020,April,5533,post
PA,2020,April,7210,post
SC,2020,April,160,post
SD,2020,April,967,post
TN,2020,April,17549,post
TX,2020,April,2388,post
UT,2020,April,1662,post
VA,2020,April,1303,post
VT,2020,April,834,post
WA,2020,April,2010,post
WI,2020,April,2377,post
WV,2020,April,1239,post
WY,2020,April,1395,post
AK,2020,March,46,post
AL,2020,March,608,post
AR,2020,March,1883,post
AZ,2020,March,12948,post
CA,2020,March,22756,post
CO,2020,March,8565,post
CT,2020,March,203,post
DC,2020,March,1141,post
DE,2020,March,773,post
FL,2020,March,1271,post
GA,2020,March,2211,post
HI,2020,March,0,post
IA,2020,March,1946,post
ID,2020,March,3,post
IL,2020,March,1896,post
IN,2020,March,4896,post
KS,2020,March,1544,post
KY,2020,March,2635,post
LA,2020,March,7722,post
MA,2020,March,35620,post
MD,2020,March,5890,post
ME,2020,March,6172,post
MI,2020,March,22413,post
MN,2020,March,7941,post
MO,2020,March,619,post
MS,2020,March,2385,post
MT,2020,March,117,post
NC,2020,March,12562,post
ND,2020,March,0,post
NE,2020,March,5,post
NH,2020,March,202,post
NJ,2020,March,3829,post
NM,2020,March,3782,post
NV,2020,March,8,post
NY,2020,March,43024,post
OH,2020,March,4707,post
