OccuranceID,Family,Genus,Species,Number of individuals,Site ID,Location,Country,Province/State,Latitude,Longitude,Checklist ID,Distance Traveled,Date Observed,Start time,End time,Sampling protocol,Basis of record,Observer,Status,Checklist Completed,Submitted date,X23,X24
308123,Hesperiidae,Epargyreus,clarus,1,21692,"2459 Beaver Creek Ln, Aiken, SC, United States",United States,South Carolina,33.481305,-81.772388,76662,NA,2018-03-01,10:53:00,10:59:00,Incidental Observation(s),Sight,John Demko,Identified,No,2018-03-01,NA,NA
308329,Pieridae,Phoebis,sennae,1,24797,"748 Swanson Avenue, Charleston, SC, United States",United States,South Carolina,32.74541,-79.913205,76790,1350,2018-03-02,13:00:00,13:50:00,Area Survey,Sight,Dennis Forsythe,Identified,No,2018-03-02,NA,NA
308330,Hesperiidae,Erynnis,juvenalis,1,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308331,Hesperiidae,Erynnis,horatius,1,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308332,Papilionidae,Papilio,glaucus,1,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308333,Lycaenidae,Parrhasius,m-album,1,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308334,Nymphalidae,Libytheana,carinenta,1,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308335,Nymphalidae,Phyciodes,tharos,2,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308336,Nymphalidae,Polygonia,interrogationis,4,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308337,Nymphalidae,Polygonia,comma,2,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
308338,Nymphalidae,Cyllopsis,gemma,1,14044,"Silver Bluff Audubon Center, Silver Bluff Road, Jackson, SC, United States",United States,South Carolina,33.32541,-81.844495,76792,8000,2018-03-03,08:00:00,12:00:00,Traveling Survey,Sight,Peter Stangel,Identified,No,2018-03-03,NA,NA
