siteID,State,year,sitevisits
24057,-9999,2018,1
26198,-9999,2020,1
29749,-9999,2018,1
28808,AB,2018,5
2099,AK,2018,5
26398,AK,2018,2
27582,AK,2018,3
27592,AK,2018,2
28754,AK,2018,9
30520,AK,2018,3
33995,AK,2019,1
35859,AK,2019,13
35859,AK,2018,7
35860,AK,2019,13
35860,AK,2018,7
35867,AK,2019,14
35867,AK,2018,5
35877,AK,2019,7
35877,AK,2018,5
35918,AK,2019,9
35918,AK,2018,1
37836,AK,2020,4
38114,AK,2020,1
39081,AK,2020,1
39082,AK,2020,1
16811,AL,2019,24
16811,AL,2018,15
26641,AL,2020,13
26641,AL,2019,13
26641,AL,2018,13
27019,AL,2020,13
27019,AL,2019,13
27019,AL,2018,12
35868,AL,2019,10
35868,AL,2018,14
35869,AL,2019,10
35885,AL,2019,16
35885,AL,2018,19
35886,AL,2019,15
35917,AL,2019,13
35917,AL,2018,13
11200,AR,2018,1
17062,AR,2018,2
19824,AR,2020,10
19824,AR,2018,4
30499,AR,2018,2
33210,AR,2019,6
36831,AR,2020,17
36873,AR,2020,5
37293,AR,2020,3
37617,AR,2020,1
30,AZ,2020,30
30,AZ,2019,11
30,AZ,2018,11
6026,AZ,2020,17
6026,AZ,2019,12
6026,AZ,2018,31
6102,AZ,2020,1
6102,AZ,2019,32
6102,AZ,2018,6
6595,AZ,2019,5
8242,AZ,2020,4
8242,AZ,2019,2
8242,AZ,2018,3
8501,AZ,2020,3
8683,AZ,2020,12
8683,AZ,2019,10
8683,AZ,2018,14
8710,AZ,2019,1
10516,AZ,2018,1
10878,AZ,2020,12
10878,AZ,2019,10
10878,AZ,2018,14
10879,AZ,2020,1
10879,AZ,2019,9
10879,AZ,2018,3
10880,AZ,2020,1
10880,AZ,2019,9
10880,AZ,2018,3
10959,AZ,2020,12
10959,AZ,2019,10
10959,AZ,2018,14
10960,AZ,2020,12
10960,AZ,2019,10
10960,AZ,2018,14
11587,AZ,2020,1
11587,AZ,2019,6
11587,AZ,2018,15
12064,AZ,2020,4
12064,AZ,2019,15
12064,AZ,2018,9
16522,AZ,2018,1
16534,AZ,2019,1
16547,AZ,2019,2
16547,AZ,2018,7
16831,AZ,2020,1
16831,AZ,2018,1
17585,AZ,2019,5
17585,AZ,2018,1
17594,AZ,2019,4
17850,AZ,2019,6
17850,AZ,2018,15
18280,AZ,2019,1
18529,AZ,2020,4
18529,AZ,2019,13
18529,AZ,2018,13
19711,AZ,2020,13
19711,AZ,2019,12
19711,AZ,2018,13
19996,AZ,2019,1
20974,AZ,2018,5
20978,AZ,2018,6
21359,AZ,2020,9
21359,AZ,2019,11
21359,AZ,2018,11
21583,AZ,2020,6
21716,AZ,2020,1
22063,AZ,2020,2
22063,AZ,2019,6
22063,AZ,2018,4
22064,AZ,2018,5
22311,AZ,2019,27
22311,AZ,2018,21
22334,AZ,2018,8
22365,AZ,2019,5
22365,AZ,2018,8
22613,AZ,2020,14
22613,AZ,2019,13
22613,AZ,2018,26
22686,AZ,2020,2
22686,AZ,2019,4
22728,AZ,2020,10
22728,AZ,2019,10
22728,AZ,2018,10
22882,AZ,2018,2
22976,AZ,2019,5
23065,AZ,2019,2
23065,AZ,2018,2
23857,AZ,2020,14
24150,AZ,2019,7
24150,AZ,2018,7
24417,AZ,2019,3
24417,AZ,2018,8
24548,AZ,2020,2
24548,AZ,2019,7
24548,AZ,2018,3
24702,AZ,2020,51
24702,AZ,2019,45
24702,AZ,2018,25
24703,AZ,2020,42
24703,AZ,2019,22
24703,AZ,2018,24
24705,AZ,2020,51
24705,AZ,2019,22
24705,AZ,2018,31
26423,AZ,2018,8
26971,AZ,2018,3
27134,AZ,2018,8
27448,AZ,2018,8
28037,AZ,2018,1
28148,AZ,2020,14
28148,AZ,2019,19
28148,AZ,2018,1
29865,AZ,2018,1
29883,AZ,2018,1
29952,AZ,2018,1
30120,AZ,2019,4
30120,AZ,2018,1
30258,AZ,2020,16
30258,AZ,2019,24
30283,AZ,2020,1
30283,AZ,2019,2
30283,AZ,2018,3
30382,AZ,2018,4
30389,AZ,2019,3
30389,AZ,2018,8
30426,AZ,2020,18
30426,AZ,2019,18
30426,AZ,2018,14
30430,AZ,2020,18
30430,AZ,2019,18
30430,AZ,2018,13
30431,AZ,2020,18
30431,AZ,2019,18
30431,AZ,2018,14
30488,AZ,2018,6
30521,AZ,2018,1
30533,AZ,2018,18
30580,AZ,2019,4
30580,AZ,2018,7
30610,AZ,2019,1
30610,AZ,2018,3
30636,AZ,2020,6
30636,AZ,2019,3
30636,AZ,2018,5
30724,AZ,2018,2
30743,AZ,2018,2
30748,AZ,2018,3
30776,AZ,2018,2
30777,AZ,2018,1
30778,AZ,2018,2
30779,AZ,2018,7
30780,AZ,2018,7
30812,AZ,2020,7
30812,AZ,2019,2
30812,AZ,2018,1
31057,AZ,2019,7
31160,AZ,2019,9
31185,AZ,2019,2
31186,AZ,2019,2
